epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,279.493,0.9834,0.93769,1.01722,0.46228,0.52959,0.47563,0.17545,2.13501,2.43065,1.97496,0.0016634,0.0016634,0.0016634
87,282.683,0.98933,0.90313,1.03491,0.63916,0.23077,0.33302,0.14388,1.99438,2.90953,1.80185,0.00165944,0.00165944,0.00165944
88,285.868,1.06323,0.97603,1.06413,0.66657,0.38462,0.42081,0.20612,1.73093,2.9489,1.56358,0.00165548,0.00165548,0.00165548
89,289.065,0.95581,0.93857,1.0083,0.72691,0.46154,0.52419,0.30505,1.62923,2.39027,1.56709,0.00165152,0.00165152,0.00165152
90,292.317,0.98117,0.98933,1.00904,0.70882,0.46154,0.50122,0.28682,1.60831,2.37862,1.54189,0.00164756,0.00164756,0.00164756
91,295.447,0.94882,0.93987,1.02076,0.49317,0.46154,0.42994,0.20194,1.57182,2.42096,1.52104,0.0016436,0.0016436,0.0016436
92,298.703,0.94535,0.90131,1.01427,0.39297,0.23077,0.22817,0.14784,1.76181,3.19465,1.60671,0.00163964,0.00163964,0.00163964
93,301.853,1.0277,0.86099,1.01884,0.53657,0.23077,0.27074,0.16738,1.69928,3.36284,1.49966,0.00163568,0.00163568,0.00163568
94,304.875,1.01449,0.95234,0.9798,0.47573,0.38462,0.35892,0.18997,1.63966,3.07365,1.45363,0.00163172,0.00163172,0.00163172
95,308.084,0.97523,0.84304,0.99326,0.62908,0.30769,0.36415,0.18917,1.62835,2.81891,1.42527,0.00162776,0.00162776,0.00162776
96,311.333,0.95404,0.86423,0.965,0.36876,0.46154,0.4012,0.22383,1.69264,2.40363,1.53324,0.0016238,0.0016238,0.0016238
97,314.499,0.9112,0.80771,0.96413,0.76772,0.30769,0.44497,0.22957,1.67865,2.33862,1.50881,0.00161984,0.00161984,0.00161984
98,317.706,0.91377,0.81252,0.98492,1,0.37428,0.46571,0.21469,1.85504,2.32266,1.62584,0.00161588,0.00161588,0.00161588
99,320.966,0.98962,0.87227,0.97749,0.71895,0.46154,0.52378,0.27506,1.95247,1.98166,1.79346,0.00161192,0.00161192,0.00161192
100,324.326,0.96612,0.82578,1.01957,0.53735,0.61538,0.53276,0.21768,1.99858,1.83714,1.90006,0.00160796,0.00160796,0.00160796
101,327.528,0.93198,0.79295,1.01472,0.42333,0.53846,0.44174,0.25384,1.93308,1.8749,1.84494,0.001604,0.001604,0.001604
102,330.667,0.89787,0.77719,1.00134,0.58879,0.38462,0.3943,0.20613,1.97439,2.05796,1.86559,0.00160004,0.00160004,0.00160004
103,333.691,0.86354,0.8303,1.01411,0.46418,0.38462,0.39387,0.20221,1.94484,2.22188,1.90574,0.00159608,0.00159608,0.00159608
