epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,227.469,1.08619,1.3945,1.04784,0.75532,0.53846,0.50243,0.17964,2.04351,2.05385,1.73744,0.00171884,0.00171884,0.00171884
73,230.454,1.00597,1.12719,1.02705,0.77346,0.52649,0.52944,0.19541,1.98414,2.0143,1.73397,0.00171488,0.00171488,0.00171488
74,233.395,1.12003,1.09839,1.0832,0.61887,0.53846,0.50214,0.1828,2.07657,2.12565,1.80873,0.00171092,0.00171092,0.00171092
75,236.375,1.08286,1.1299,1.0522,0.68543,0.53846,0.50214,0.18377,2.12681,2.29316,1.89961,0.00170696,0.00170696,0.00170696
76,239.449,1.08154,1.13984,1.05324,0.6595,0.4483,0.4332,0.14525,2.15314,2.55195,1.92301,0.001703,0.001703,0.001703
77,242.387,0.99736,1.0149,1.05303,0.41286,0.46154,0.30458,0.13401,2.1104,2.58977,1.94421,0.00169904,0.00169904,0.00169904
78,245.457,1.06733,1.01929,1.069,0.6814,0.46154,0.50481,0.1875,2.05728,2.28107,1.93167,0.00169508,0.00169508,0.00169508
79,248.473,0.98527,1.04025,1.02607,0.74863,0.46154,0.49696,0.21285,1.98678,2.26306,1.89795,0.00169112,0.00169112,0.00169112
80,251.633,1.03332,1.04925,1.05816,1,0.37461,0.51619,0.21059,1.8162,2.33685,1.78253,0.00168716,0.00168716,0.00168716
81,254.677,1.03082,0.98966,1.08626,0.59785,0.46154,0.47065,0.15582,1.89435,2.38193,1.877,0.0016832,0.0016832,0.0016832
82,257.712,1.019,0.95145,1.02683,0.78576,0.46154,0.54148,0.20116,1.86235,2.39374,1.95288,0.00167924,0.00167924,0.00167924
83,260.749,1.02438,0.9957,1.05838,0.85148,0.44325,0.52602,0.17619,1.94894,2.54175,2.1266,0.00167528,0.00167528,0.00167528
84,263.808,0.98026,1.01421,1.03136,0.54316,0.46154,0.47077,0.13046,2.13653,2.79798,2.26776,0.00167132,0.00167132,0.00167132
85,266.799,1.04854,1.0129,1.07909,0.65836,0.38462,0.40839,0.11438,2.15419,2.55247,2.28021,0.00166736,0.00166736,0.00166736
86,269.867,0.9752,0.982,1.01549,0.70502,0.38462,0.45408,0.14485,2.14151,2.5152,2.20524,0.0016634,0.0016634,0.0016634
87,272.821,1.00901,0.95734,1.02653,0.65906,0.30769,0.47042,0.20943,2.06974,2.32198,2.14145,0.00165944,0.00165944,0.00165944
88,275.907,0.9982,0.89391,1.05328,0.68419,0.38462,0.53196,0.23855,2.10904,2.33894,2.08321,0.00165548,0.00165548,0.00165548
