epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,282.51,1.11818,0.85982,1.1037,0.78396,0.61538,0.61192,0.24591,1.7486,2.78586,1.56637,0.0017822,0.0017822,0.0017822
57,287.606,1.1036,0.8257,1.09915,0.84177,0.61538,0.66701,0.28025,1.58658,2.63907,1.5125,0.00177824,0.00177824,0.00177824
58,292.744,1.10798,0.81006,1.10548,0.69923,0.61538,0.62133,0.25647,1.62071,2.28949,1.55161,0.00177428,0.00177428,0.00177428
59,297.824,1.12671,0.94163,1.11642,0.77646,0.53481,0.59274,0.31436,1.54458,2.18948,1.53415,0.00177032,0.00177032,0.00177032
60,302.974,1.02142,0.85655,1.10223,0.81217,0.38462,0.42918,0.21761,1.69825,2.80268,1.67104,0.00176636,0.00176636,0.00176636
61,308.054,1.16203,0.86214,1.1538,0.70952,0.38462,0.4326,0.18891,1.74666,2.85773,1.65567,0.0017624,0.0017624,0.0017624
62,313.159,1.12877,0.82402,1.14776,0.74866,0.45865,0.54427,0.25514,1.77681,2.44156,1.66681,0.00175844,0.00175844,0.00175844
63,318.236,1.11115,0.82373,1.11552,0.68127,0.46154,0.45075,0.22344,1.70303,2.31829,1.63291,0.00175448,0.00175448,0.00175448
64,323.342,1.05293,0.85121,1.12526,0.54293,0.38462,0.3639,0.23696,1.91359,2.02098,1.66574,0.00175052,0.00175052,0.00175052
65,328.425,1.14349,1.00389,1.14763,0.44945,0.46154,0.42457,0.19488,2.16029,2.01766,1.91914,0.00174656,0.00174656,0.00174656
66,333.598,1.07426,0.88916,1.10664,0.57991,0.53152,0.43299,0.17719,2.21484,2.21922,1.97141,0.0017426,0.0017426,0.0017426
67,338.702,1.0756,0.81457,1.07115,0.37171,0.46154,0.31301,0.16553,2.22782,2.58598,1.97398,0.00173864,0.00173864,0.00173864
68,343.815,1.07198,0.81106,1.10024,0.31484,0.46154,0.26551,0.12707,2.047,3.07503,1.85634,0.00173468,0.00173468,0.00173468
69,348.895,1.09174,0.77864,1.0945,0.31297,0.38462,0.21176,0.0817,2.01697,2.94483,1.82464,0.00173072,0.00173072,0.00173072
70,354.059,1.01635,0.75685,0.98868,0.28379,0.38462,0.23899,0.09599,2.0184,3.13478,1.79077,0.00172676,0.00172676,0.00172676
71,359.175,1.0085,0.75978,1.00007,0.31499,0.46154,0.19542,0.08855,1.92567,4.22503,1.77455,0.0017228,0.0017228,0.0017228
72,364.263,1.08695,0.78089,1.06392,0.16439,0.23077,0.12472,0.047,2.07045,6.27366,1.79581,0.00171884,0.00171884,0.00171884
73,369.335,1.10103,0.80759,1.05413,0.25175,0.53846,0.26299,0.12354,1.88889,3.41999,1.81006,0.00171488,0.00171488,0.00171488
74,374.323,1.00394,0.73838,1.05257,0.30399,0.38462,0.29366,0.11838,1.76483,2.97127,1.76705,0.00171092,0.00171092,0.00171092
75,379.44,0.97577,0.73512,1.06484,0.35203,0.38462,0.26498,0.11301,1.87794,2.5172,1.79474,0.00170696,0.00170696,0.00170696
76,384.591,0.93063,0.72775,1.02482,0.46299,0.53103,0.42295,0.19886,1.91223,2.01936,1.82492,0.001703,0.001703,0.001703
77,389.681,1.00501,0.75975,1.06914,0.52724,0.61538,0.51166,0.23735,1.87013,1.9883,1.72277,0.00169904,0.00169904,0.00169904
78,394.657,0.95982,0.6791,1.02971,0.49636,0.46154,0.40912,0.18988,1.73766,2.14732,1.52204,0.00169508,0.00169508,0.00169508
79,399.666,0.94423,0.7324,1.04269,0.31975,0.46154,0.32787,0.19278,1.71992,2.24562,1.56871,0.00169112,0.00169112,0.00169112
80,404.805,0.96556,0.74145,1.05361,0.53218,0.46154,0.45024,0.24226,1.66124,1.91108,1.83274,0.00168716,0.00168716,0.00168716
81,409.901,1.03984,0.71317,1.08978,0.59279,0.44906,0.4175,0.23654,1.69792,1.87863,1.88555,0.0016832,0.0016832,0.0016832
82,414.888,1.03733,0.71253,1.0593,0.54901,0.53846,0.49783,0.24411,1.82175,1.87932,1.85902,0.00167924,0.00167924,0.00167924
83,419.941,0.96731,0.73415,1.05283,0.53302,0.53846,0.49428,0.21592,1.91079,1.92682,1.7841,0.00167528,0.00167528,0.00167528
84,425.014,0.98786,0.68139,1.05993,0.39255,0.46154,0.37571,0.11728,2.12627,1.89841,2.0849,0.00167132,0.00167132,0.00167132
85,430.081,0.9966,0.69681,1.05096,0.50655,0.46154,0.38864,0.13104,2.20566,1.81666,2.17133,0.00166736,0.00166736,0.00166736
86,435.135,0.99201,0.70594,1.00956,0.52323,0.46154,0.39268,0.1466,2.0455,1.9873,2.09108,0.0016634,0.0016634,0.0016634
87,440.29,0.91768,0.64262,1.01828,0.48063,0.61538,0.54276,0.17929,1.98753,1.89199,2.00943,0.00165944,0.00165944,0.00165944
88,445.394,0.94206,0.68782,1.03215,0.66256,0.46154,0.54542,0.20941,2.04557,2.14382,2.0041,0.00165548,0.00165548,0.00165548
89,450.494,0.86548,0.61197,0.98631,0.58515,0.53846,0.55155,0.25854,1.93044,2.0519,1.88575,0.00165152,0.00165152,0.00165152
90,455.599,0.90297,0.62955,0.9997,0.75565,0.53846,0.57679,0.28265,1.97984,1.82965,1.91985,0.00164756,0.00164756,0.00164756
91,460.668,0.8991,0.62707,1.01436,0.69671,0.53846,0.61816,0.26766,2.10459,1.60507,2.10685,0.0016436,0.0016436,0.0016436
92,465.791,0.7983,0.60954,0.97576,0.74599,0.53846,0.55206,0.20782,1.94304,2.28685,1.92759,0.00163964,0.00163964,0.00163964
93,470.84,0.89579,0.63319,0.97803,0.85708,0.53846,0.54466,0.1979,1.97931,2.79773,1.91041,0.00163568,0.00163568,0.00163568
94,475.989,0.87286,0.64718,0.91625,0.78058,0.46154,0.51939,0.19392,1.83143,2.88997,1.84541,0.00163172,0.00163172,0.00163172
95,481.113,0.85015,0.63169,0.96109,0.72915,0.46154,0.48176,0.18633,1.89135,2.63047,1.92678,0.00162776,0.00162776,0.00162776
96,486.161,0.86567,0.64599,0.94722,0.58695,0.46154,0.44345,0.20168,2.0783,2.59673,2.08212,0.0016238,0.0016238,0.0016238
97,491.218,0.83809,0.60946,0.99044,0.73079,0.46154,0.40422,0.18869,2.22981,2.84938,2.19936,0.00161984,0.00161984,0.00161984
98,496.286,0.79169,0.60093,0.99305,0.56155,0.46154,0.3716,0.17239,2.15376,3.23683,2.1491,0.00161588,0.00161588,0.00161588
99,501.379,0.83254,0.5773,0.95811,0.542,0.38462,0.35291,0.16724,2.22116,3.19957,2.15152,0.00161192,0.00161192,0.00161192
100,506.518,0.82754,0.57948,0.98225,0.60741,0.38462,0.32554,0.13398,2.11841,3.3123,2.11869,0.00160796,0.00160796,0.00160796
