epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,236.782,1.05472,0.94624,1.03419,0.74644,0.46154,0.53652,0.17439,2.28011,2.06797,2.17732,0.00169904,0.00169904,0.00169904
78,239.968,0.96316,0.8869,0.99263,0.36685,0.53846,0.44967,0.13624,2.30982,2.27803,2.219,0.00169508,0.00169508,0.00169508
79,242.96,1.01185,0.85916,1.01412,0.40027,0.53846,0.37738,0.12008,2.47846,2.40827,2.27361,0.00169112,0.00169112,0.00169112
80,245.926,0.96556,0.83023,0.97821,0.62177,0.38462,0.38434,0.13648,2.28255,2.43557,2.21157,0.00168716,0.00168716,0.00168716
81,248.978,0.95908,0.83023,1.00861,0.59888,0.38462,0.43385,0.15172,2.21469,2.33066,2.09558,0.0016832,0.0016832,0.0016832
82,252.065,0.94855,0.87547,0.9748,0.64395,0.46154,0.44992,0.14842,2.17984,2.20688,2.06424,0.00167924,0.00167924,0.00167924
83,254.976,0.89469,0.78908,0.99635,0.63317,0.46154,0.43911,0.13785,2.12859,2.20881,2.03376,0.00167528,0.00167528,0.00167528
84,257.929,0.93959,0.83223,1.00103,0.48384,0.46154,0.43544,0.15019,2.14501,2.319,1.96727,0.00167132,0.00167132,0.00167132
85,260.888,0.9622,0.8399,1.01732,0.64406,0.46154,0.44052,0.18739,2.17406,1.89793,2.0213,0.00166736,0.00166736,0.00166736
86,263.86,0.91608,0.76461,0.98211,0.67868,0.38462,0.4355,0.16617,2.21401,2.02604,2.02511,0.0016634,0.0016634,0.0016634
87,266.866,0.86727,0.76055,0.96908,0.7115,0.38012,0.39941,0.1494,2.04769,2.61174,1.81075,0.00165944,0.00165944,0.00165944
88,269.984,0.88609,0.77052,0.98249,0.70805,0.46154,0.48291,0.175,2.00287,2.48159,1.78928,0.00165548,0.00165548,0.00165548
89,273.128,0.86862,0.78984,0.96206,0.67833,0.38462,0.42375,0.19485,2.04381,2.14932,1.89866,0.00165152,0.00165152,0.00165152
90,276.1,0.93295,0.80856,0.96832,0.62999,0.30769,0.40948,0.18202,2.14302,2.19442,1.90546,0.00164756,0.00164756,0.00164756
91,279.171,0.88449,0.75308,0.95746,0.72949,0.23077,0.38068,0.16227,2.13363,2.3923,1.84182,0.0016436,0.0016436,0.0016436
92,282.144,0.90873,0.76567,0.95943,0.54843,0.38462,0.36178,0.12855,2.20367,2.70966,1.89106,0.00163964,0.00163964,0.00163964
93,285.163,0.83748,0.75769,0.94238,0.48877,0.44253,0.33653,0.11866,2.1851,2.93857,1.84819,0.00163568,0.00163568,0.00163568
94,288.082,0.84495,0.70508,0.91058,0.56054,0.46154,0.40149,0.13864,2.13853,2.71443,1.80674,0.00163172,0.00163172,0.00163172
95,291.009,0.8276,0.6809,0.94665,0.55432,0.46154,0.40317,0.13645,2.15698,2.74287,1.81963,0.00162776,0.00162776,0.00162776
96,293.972,0.85354,0.71477,0.93634,0.43296,0.46154,0.36936,0.13088,2.14816,2.50946,1.82283,0.0016238,0.0016238,0.0016238
97,296.921,0.8747,0.6938,0.95357,0.37424,0.38462,0.32926,0.12486,2.16006,2.6798,1.81713,0.00161984,0.00161984,0.00161984
98,299.862,0.92571,0.72556,0.99762,0.48032,0.42823,0.46316,0.18233,2.15011,2.82098,1.84989,0.00161588,0.00161588,0.00161588
99,302.935,1.01043,0.71889,0.9969,0.62503,0.30769,0.43955,0.21611,1.98226,2.99007,1.75901,0.00161192,0.00161192,0.00161192
100,306.299,0.84807,0.71524,0.97268,0.70322,0.38462,0.42782,0.15228,2.08477,2.85695,1.85747,0.00160796,0.00160796,0.00160796
101,309.243,0.91411,0.70398,0.98387,0.44368,0.46154,0.45337,0.14694,2.41451,2.50491,2.13706,0.001604,0.001604,0.001604
102,312.196,0.81763,0.70175,0.95157,0.47168,0.55002,0.47117,0.14304,2.49974,2.65832,2.23508,0.00160004,0.00160004,0.00160004
103,315.183,0.92104,0.68283,1.02076,0.3904,0.38462,0.39055,0.12296,2.51508,2.84004,2.35598,0.00159608,0.00159608,0.00159608
104,318.224,0.87781,0.66586,0.96404,0.6056,0.46154,0.3567,0.16799,2.28752,1.72025,2.15028,0.00159212,0.00159212,0.00159212
105,321.195,0.90502,0.72827,0.95156,0.62868,0.53846,0.42366,0.16781,2.21578,1.82224,2.08089,0.00158816,0.00158816,0.00158816
106,324.122,0.88894,0.67671,0.9437,0.56863,0.46154,0.34824,0.11965,2.21102,2.44019,2.02629,0.0015842,0.0015842,0.0015842
107,327.034,0.84185,0.67655,0.97644,0.43939,0.46154,0.36846,0.12931,2.0418,2.92778,1.96228,0.00158024,0.00158024,0.00158024
108,329.985,0.87035,0.70984,1.00942,0.37682,0.53846,0.38537,0.139,2.04344,2.70395,2.02691,0.00157628,0.00157628,0.00157628
109,333.012,0.87692,0.75125,0.97267,0.53328,0.38462,0.37081,0.13007,2.14714,2.73613,2.13209,0.00157232,0.00157232,0.00157232
110,336.001,0.89778,0.70765,1.00617,0.57618,0.46154,0.41372,0.15135,2.08754,2.78926,2.10778,0.00156836,0.00156836,0.00156836
111,339.217,0.83492,0.72117,0.99221,0.81527,0.46154,0.47154,0.17942,2.00602,2.88703,2.0241,0.0015644,0.0015644,0.0015644
112,342.301,0.85901,0.76627,0.95165,0.42444,0.61538,0.48714,0.18893,1.89032,1.95914,1.87113,0.00156044,0.00156044,0.00156044
